,time,open,high,low,close,tick_volume,spread,real_volume
159,1703933040,279.78,279.98,279.32,279.56,8,199,0
160,1703933100,279.85,279.89,279.23,279.45,12,178,0
161,1703933160,279.45,279.65,279.04,279.25,9,196,0
162,1703933220,279.25,279.54,278.85,279.44,9,191,0
163,1703933280,279.44,279.74,278.98,279.51,8,194,0
164,1703933340,279.51,279.51,278.35,278.54,13,195,0
165,1703933400,278.34,278.34,276.43,276.92,37,212,0
166,1703933460,276.82,277.02,276.21,276.31,27,217,0
167,1703933520,275.62,276.82,275.62,276.71,32,193,0
168,1703933580,276.71,277.47,276.41,277.29,26,211,0
169,1703933640,277.29,277.55,276.62,277.06,16,204,0
170,1703933700,277.25,277.31,276.54,277.31,20,208,0
171,1703933760,277.05,277.63,277.05,277.63,4,207,0
172,1703933820,277.9,278.63,277.35,278.4,18,213,0
173,1703933880,278.4,278.46,277.76,278.44,8,214,0
174,1703933940,278.21,278.32,277.6,278.31,28,194,0
175,1703934000,278.31,279.48,278.31,279.28,26,179,0
176,1703934060,279.51,279.51,278.41,279.01,16,229,0
177,1703934120,278.81,279.01,278.81,278.91,6,269,0
178,1703934180,278.81,278.81,278.12,278.12,6,269,0
179,1703934240,278.12,278.52,278.12,278.52,5,247,0
180,1703934300,278.32,278.32,277.72,277.82,6,267,0
181,1703934360,277.82,278.02,277.72,278.02,6,257,0
182,1703934420,277.92,278.12,276.83,276.83,10,257,0
183,1703934480,276.83,276.93,276.43,276.53,8,264,0
184,1703934540,276.43,276.43,275.96,276.2,13,216,0
185,1703934600,276.4,276.4,275.76,276.12,13,205,0
186,1703934660,276.3,276.3,273.99,274.38,30,209,0
187,1703934720,274.38,274.38,273.1,273.62,36,226,0
188,1703934780,273.26,273.76,272.66,272.85,43,233,0
189,1703934840,272.95,273.59,272.55,272.85,30,230,0
190,1703934900,273.06,273.75,272.75,272.85,30,217,0
191,1703934960,272.85,273.6,271.95,273.6,30,226,0
192,1703935020,273.6,274.25,273.09,274.04,25,221,0
193,1703935080,274.05,274.96,273.76,274.3,26,209,0
194,1703935140,274.46,274.95,274.26,274.43,15,220,0
195,1703935200,274.71,274.96,273.92,274.96,22,218,0
196,1703935260,274.39,275.24,274.3,275.14,15,190,0
197,1703935320,275.33,275.34,274.48,274.93,12,216,0
198,1703935380,274.61,275.63,274.61,275.63,6,193,0
199,1703935440,275.63,275.63,274.47,274.72,18,207,0
200,1703935500,274.72,274.99,274.42,274.71,15,191,0
201,1703935560,274.71,274.71,273.92,274.53,14,213,0
202,1703935620,274.32,274.78,273.96,274.1,16,207,0
203,1703935680,274.3,274.92,273.62,274.87,18,202,0
204,1703935740,274.46,275.09,274.46,275.09,4,190,0
205,1703935800,274.83,275.31,274.13,275.31,30,207,0
206,1703935860,274.92,275.26,274.46,274.51,13,206,0
207,1703935920,274.04,274.17,273.24,273.49,16,198,0
208,1703935980,273.49,273.96,272.98,273.96,9,196,0
209,1703936040,273.96,273.96,273.6,273.79,7,198,0
210,1703936100,273.23,274.15,273.02,273.39,17,207,0
211,1703936160,273.39,274.22,272.98,274.22,8,195,0
212,1703936220,273.49,273.85,273.01,273.49,14,191,0
